,,@type,position,item.@type,item.additionalType,item.name,item.image,item.description,item.brand.@type,item.brand.name,item.author.@type,item.author.name,item.model,item.bodyType,item.fuelType,item.seatingCapacity,item.color,item.mainEntityOfPage,item.url,item.offers.@type,item.offers.price,item.offers.priceCurrency,item.offers.itemCondition,item.offers.availability,item.offers.seller.@type,item.offers.seller.homeLocation.@type,item.offers.seller.homeLocation.address.@type,item.offers.seller.homeLocation.address.addressLocality,item.offers.seller.homeLocation.address.addressRegion,item.offers.seller.homeLocation.address.url
Page1591,0,ListItem,1,Product,Car,2011 Hyundai H-1 2.5 (ปี 08-17) Maesto Deluxe Van,['https://img2.icarcdn.com/20283711/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-hyundai-h-1-maesto-deluxe-van-thailand_1f3c5c97e45b2ce975546af0b12a7c7c_d71551b3_3473_4a18_b95f_8dcb0001386e_000020283711_4348440e_786f_4e2b_bacc_4f36089cf526.jpg.webp?smia=xTM'],รถสภาพดี มีรับประกันโครงสร้าง สามารถเข้าเชคศูนย์ได้ เครื่องa1 แรงจัดประหยัดสุด  ...,Brand,Hyundai,Person,One2Car,H-1,Van,Diesel,12,สีดำ,https://www.one2car.com/for-sale/hyundai-h-1-maesto-deluxe-กรุงเทพและปริมณฑล-อ่อนนุช/11738202,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1591&page_size=26#listing_11738202,Offer,559000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/c7c7a21b-0fa6-4557-9ec2-b54e79c5c3f1
Page1591,1,ListItem,2,Product,Car,2023 Porsche 911 Carrera 4 GTS 3.0 992 4WD Coupe AT,['https://img1.icarcdn.com/66852811/thumb-l_%E0%B8%A3%E0%B8%96%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-one2car-in-process-thailand_000066852811_b38aaa39_2913_4b52_aa3d_933f9eb1057d.jpg.webp?smia=xTM'],𝗜𝗻 𝗦𝘁𝗼𝗰𝗸! 𝟮𝟬𝟮𝟯 𝗣𝗼𝗿𝘀𝗰𝗵𝗲 𝟵𝟭𝟭 𝗖𝗮𝗿𝗿𝗲𝗿𝗮 𝟰 𝗚𝗧𝗦 #รถใหม่พร้อมส่งมอบ  🔵สีพิเศษ shark ...,Brand,Porsche,Person,One2Car,911 Carrera 4 GTS,Coupe,Petrol - Unleaded (ULP),4,สีน้ำเงิน,https://www.one2car.com/for-sale/porsche-911-carrera-4-gts-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/11825866,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1591&page_size=26#listing_11825866,Offer,16800000,THB,https://schema.org/NewCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/Forzagt
Page1591,2,ListItem,3,Product,Car,2016 Mitsubishi Triton 2.4 DOUBLE CAB (ปี 14-19) GLS Plus Pickup,['https://img5.icarcdn.com/45642811/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-mitsubishi-triton-gls-plus-pickup-thail_000045642811_96e99390_e8b7_464e_9903_5820cae141da.jpg.webp?smia=xTM'],2016 mitsubishi triton 2.4 double cab (ปี 14-19) gls plus pickup    🔥โปรแรงๆ ...,Brand,Mitsubishi,Person,One2Car,Triton,Pickup,Diesel,5,สีเทา,https://www.one2car.com/for-sale/mitsubishi-triton-gls-plus-ภาคตะวันตก-อำเภอเมืองราชบุรี/11824654,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1591&page_size=26#listing_11824654,Offer,455000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,ราชบุรี,ภาคตะวันตก,https://www.one2car.com/dealer/1f4a5996-ca44-4555-934b-ee8a66efcf46
Page1591,3,ListItem,4,Product,Car,2015 Mitsubishi Attrage 1.2 (ปี 13-18) GLS Sedan,['https://img2.icarcdn.com/56542811/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-mitsubishi-attrage-gls-sedan-thailand_000056542811_6367ea41_e340_42c5_9dbc_de08a75a2376.JPG.webp?smia=xTM'],"Www.one2car.com  one2car, วันทูคาร์, รถมือสอง one2car, มือสอง, รถมือ2, one2car ...",Brand,Mitsubishi,Person,One2Car,Attrage,Sedan,Petrol - Unleaded (ULP),5,สีแดง,https://www.one2car.com/for-sale/mitsubishi-attrage-gls-ภาคตะวันออก-อำเภอเมืองระยอง/11824565,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1591&page_size=26#listing_11824565,Offer,1,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,ระยอง,ภาคตะวันออก,https://www.one2car.com/dealer/rodsuay-east
Page1591,4,ListItem,5,Product,Car,2012 Isuzu D-Max 2.5 CAB-4 (ปี 11-17) Hi-Lander Z-Prestige Pickup,['https://img4.icarcdn.com/93542811/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-isuzu-d-max-hi-lander-z-prestige-pickup_000093542811_a8358d81_a614_4730_8514_2618f350e5d6.JPG.webp?smia=xTM'],"Www.one2car.com  one2car, วันทูคาร์, รถมือสอง one2car, มือสอง, รถมือ2, one2car ...",Brand,Isuzu,Person,One2Car,D-Max,Pickup,Diesel,5,สีเทา,https://www.one2car.com/for-sale/isuzu-d-max-hi-lander-z-prestige-ภาคตะวันออก-อำเภอเมืองระยอง/11824539,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1591&page_size=26#listing_11824539,Offer,1,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,ระยอง,ภาคตะวันออก,https://www.one2car.com/dealer/rodsuay-east
Page1591,5,ListItem,6,Product,Car,2018 Suzuki Ciaz 1.2 (ปี 15-18) GL Sedan,['https://img5.icarcdn.com/92542811/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-suzuki-ciaz-gl-sedan-thailand_000092542811_b3282300_3abc_4c03_a5c9_f658547304c0.JPG.webp?smia=xTM'],"Www.one2car.com  one2car, วันทูคาร์, รถมือสอง one2car, มือสอง, รถมือ2, one2car ...",Brand,Suzuki,Person,One2Car,Ciaz,Sedan,Petrol - Unleaded (ULP),5,สีเงิน,https://www.one2car.com/for-sale/suzuki-ciaz-gl-ภาคตะวันออก-อำเภอเมืองระยอง/11824529,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1591&page_size=26#listing_11824529,Offer,1,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,ระยอง,ภาคตะวันออก,https://www.one2car.com/dealer/rodsuay-east
Page1591,6,ListItem,7,Product,Car,2013 Mitsubishi Mirage 1.2 (ปี 12-18) GLX Hatchback,['https://img4.icarcdn.com/42542811/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-mitsubishi-mirage-glx-hatchback-thailan_000042542811_01a75c79_38eb_4840_b2cd_d76a190d4c2d.JPG.webp?smia=xTM'],"Www.one2car.com  one2car, วันทูคาร์, รถมือสอง one2car, มือสอง, รถมือ2, one2car ...",Brand,Mitsubishi,Person,One2Car,Mirage,Hatchback,Petrol - Unleaded (ULP),5,สีดำ,https://www.one2car.com/for-sale/mitsubishi-mirage-glx-ภาคตะวันออก-อำเภอเมืองระยอง/11824524,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1591&page_size=26#listing_11824524,Offer,1,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,ระยอง,ภาคตะวันออก,https://www.one2car.com/dealer/rodsuay-east
Page1591,7,ListItem,8,Product,Car,2016 Suzuki Ciaz 1.2 (ปี 15-18) GL Sedan,['https://img1.icarcdn.com/71542811/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-suzuki-ciaz-gl-sedan-thailand_000071542811_fd2f7529_70b6_4c68_b229_4c2799a9f64a.JPG.webp?smia=xTM'],"Www.one2car.com  one2car, วันทูคาร์, รถมือสอง one2car, มือสอง, รถมือ2, one2car ...",Brand,Suzuki,Person,One2Car,Ciaz,Sedan,Petrol - Unleaded (ULP),5,สีเทา,https://www.one2car.com/for-sale/suzuki-ciaz-gl-ภาคตะวันออก-อำเภอเมืองระยอง/11824517,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1591&page_size=26#listing_11824517,Offer,1,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,ระยอง,ภาคตะวันออก,https://www.one2car.com/dealer/rodsuay-east
Page1591,8,ListItem,9,Product,Car,2015 Isuzu D-Max 2.5 SPACE CAB (ปี 11-17) Hi-Lander Z Pickup,['https://img2.icarcdn.com/90542811/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-isuzu-d-max-hi-lander-z-pickup-thailand_000090542811_d2219140_33ae_4ee7_81f0_40ea4886d0d6.JPG.webp?smia=xTM'],"Www.one2car.com  one2car, วันทูคาร์, รถมือสอง one2car, มือสอง, รถมือ2, one2car ...",Brand,Isuzu,Person,One2Car,D-Max,Pickup,Diesel,2,สีดำ,https://www.one2car.com/for-sale/isuzu-d-max-hi-lander-z-ภาคตะวันออก-อำเภอปลวกแดง/11824509,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1591&page_size=26#listing_11824509,Offer,1,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,ระยอง,ภาคตะวันออก,https://www.one2car.com/dealer/rodsuay-east
Page1591,9,ListItem,10,Product,Car,2013 Isuzu D-Max 2.5 SPACE CAB (ปี 11-17) Hi-Lander Z Pickup,['https://img5.icarcdn.com/40542811/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-isuzu-d-max-hi-lander-z-pickup-thailand_000040542811_ba80f59f_a499_41f3_b6af_da11b1aff5de.JPG.webp?smia=xTM'],"Www.one2car.com  one2car, วันทูคาร์, รถมือสอง one2car, มือสอง, รถมือ2, one2car ...",Brand,Isuzu,Person,One2Car,D-Max,Pickup,Diesel,2,สีดำ,https://www.one2car.com/for-sale/isuzu-d-max-hi-lander-z-ภาคตะวันออก-อำเภอปลวกแดง/11824504,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1591&page_size=26#listing_11824504,Offer,1,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,ระยอง,ภาคตะวันออก,https://www.one2car.com/dealer/rodsuay-east
