Brand,Model_SubModel,Year,GearType,Price
AUDI,A1 1.5 35 TFSI Sportback S-Line (CBU) (MY19),2019,AUTO,"1,450,000"
AUDI,A1 1.5 35 TFSI Sportback S-Line (CBU) (MY19),2020,AUTO,"1,500,000"
AUDI,A1 1.5 35 TFSI Sportback S-Line (CBU) (MY19),2021,AUTO,"1,550,000"
AUDI,A1 1.5 35 TFSI Sportback S-Line (CBU) (MY19),2022,AUTO,"1,600,000"
AUDI,A3 1.4 TFSI,2016,AUTO,"950,000"
AUDI,A3 1.4 TFSI,2017,AUTO,"1,000,000"
AUDI,A3 2.0 TDI Sportback,2016,AUTO,"1,050,000"
AUDI,A3 2.0 TDI Sportback,2017,AUTO,"1,100,000"
AUDI,A3 1.4 TFSI Sportback S-Line (CBU),2021,AUTO,"1,950,000"
AUDI,A3 1.4 TFSI Sportback S-Line (CBU),2022,AUTO,"2,050,000"
AUDI,A4 1.8 Turbo FSI,2009,AUTO,"400,000"
AUDI,A4 1.8 Turbo FSI,2010,AUTO,"440,000"
AUDI,A4 1.8 Turbo FSI,2011,AUTO,"480,000"
AUDI,A4 1.8 Turbo FSI,2012,AUTO,"520,000"
AUDI,A4 1.8 Turbo FSI,2013,AUTO,"560,000"
AUDI,A4 1.8 Turbo FSI,2014,AUTO,"600,000"
AUDI,A4 1.8 Turbo FSI,2015,AUTO,"640,000"
AUDI,A4 2.0 TFSI,2016,AUTO,"1,250,000"
AUDI,A4 2.0 TFSI,2017,AUTO,"1,300,000"
AUDI,A4 2.0 TFSI Sport,2016,AUTO,"1,350,000"
AUDI,A4 2.0 TFSI Sport,2017,AUTO,"1,400,000"
AUDI,A4 2.0 40 TFSI S line (MY17),2017,AUTO,"1,400,000"
AUDI,A4 2.0 40 TFSI S line (MY17),2018,AUTO,"1,500,000"
AUDI,A4 2.0 40 TFSI S line (MY17),2019,AUTO,"1,600,000"
AUDI,A4 2.0 45 TFSI Avant Quattro S line Black Edition (MY17),2017,AUTO,"1,700,000"
AUDI,A4 2.0 45 TFSI Avant Quattro S line Black Edition (MY17),2018,AUTO,"1,800,000"
AUDI,A4 2.0 45 TFSI Avant Quattro S line Black Edition (MY17),2019,AUTO,"1,900,000"
AUDI,A4 2.0 45 TFSI Avant Quattro S line Black Edition (MY17),2020,AUTO,"2,000,000"
AUDI,A4 2.0 45 TFSI Avant Quattro S line Black Edition (MY17),2021,AUTO,"2,100,000"
AUDI,A4 2.0 45 TFSI Quattro S line (MY17),2017,AUTO,"1,600,000"
AUDI,A4 2.0 45 TFSI Quattro S line (MY17),2018,AUTO,"1,700,000"
AUDI,A4 2.0 45 TFSI Quattro S line (MY17),2019,AUTO,"1,800,000"
AUDI,A4 2.0 40 TFSI S line (MY17) (MNC),2020,AUTO,"1,800,000"
AUDI,A4 2.0 40 TFSI S line (MY17) (MNC),2021,AUTO,"1,900,000"
AUDI,A4 2.0 40 TFSI S line (MY17) (MNC),2022,AUTO,"2,000,000"
AUDI,A4 2.0 45 TFSI Avant Quattro S line Black Edition (MY17) (MNC),2020,AUTO,"2,400,000"
AUDI,A4 2.0 45 TFSI Avant Quattro S line Black Edition (MY17) (MNC),2021,AUTO,"2,500,000"
AUDI,A4 2.0 45 TFSI Avant Quattro S line Black Edition (MY17) (MNC),2022,AUTO,"2,600,000"
AUDI,A5 2.0 45 TFSI Sportback Quattro S line (MY17),2017,AUTO,"2,300,000"
AUDI,A5 2.0 45 TFSI Sportback Quattro S line (MY17),2018,AUTO,"2,400,000"
AUDI,A5 2.0 45 TFSI Sportback Quattro S line (MY17),2019,AUTO,"2,500,000"
AUDI,A5 2.0 45 TFSI Sportback Quattro S line (MY17),2020,AUTO,"2,600,000"
AUDI,A5 2.0 Coupe 40 TFSI (MY17),2017,AUTO,"1,700,000"
AUDI,A5 2.0 Coupe 40 TFSI (MY17),2018,AUTO,"1,800,000"
AUDI,A5 2.0 Coupe 40 TFSI (MY17),2019,AUTO,"1,900,000"
AUDI,A5 2.0 Coupe 40 TFSI (MY17),2020,AUTO,"2,000,000"
AUDI,A5 2.0 Coupe 40 TFSI S line (18 Wheel) (MY17),2017,AUTO,"1,900,000"
AUDI,A5 2.0 Coupe 40 TFSI S line (18 Wheel) (MY17),2018,AUTO,"2,000,000"
AUDI,A5 2.0 Coupe 40 TFSI S line (19 Wheel) (MY17),2017,AUTO,"1,900,000"
AUDI,A5 2.0 Coupe 40 TFSI S line (19 Wheel) (MY17),2018,AUTO,"2,000,000"
AUDI,A5 2.0 Coupe 40 TFSI S line (19 Wheel) (MY17),2019,AUTO,"2,100,000"
AUDI,A5 2.0 Coupe 45 TFSI Quattro S line (MY17),2017,AUTO,"2,200,000"
AUDI,A5 2.0 Coupe 45 TFSI Quattro S line (MY17),2018,AUTO,"2,300,000"
AUDI,A5 2.0 Coupe 45 TFSI Quattro S line (MY17),2019,AUTO,"2,400,000"
AUDI,A5 2.0 Coupe 45 TFSI Quattro S line (MY17),2020,AUTO,"2,500,000"
AUDI,A5 2.0 40 TFSI Sportback (MY17),2017,AUTO,"1,700,000"
AUDI,A5 2.0 40 TFSI Sportback (MY17),2018,AUTO,"1,800,000"
AUDI,A5 2.0 40 TFSI Sportback (MY17),2019,AUTO,"1,900,000"
AUDI,A5 2.0 40 TFSI Sportback (MY17),2020,AUTO,"2,000,000"
AUDI,A5 2.0 40 TFSI Sportback S line (MY17) (MNC),2020,AUTO,"1,900,000"
AUDI,A5 2.0 40 TFSI Sportback S line (MY17) (MNC),2021,AUTO,"2,000,000"
AUDI,A5 2.0 40 TFSI Sportback S line (MY17) (MNC),2022,AUTO,"2,100,000"
AUDI,A5 2.0 45 TFSI Sportback Quattro S line Black Edition (MY17) (MNC),2020,AUTO,"2,600,000"
AUDI,A5 2.0 45 TFSI Sportback Quattro S line Black Edition (MY17) (MNC),2021,AUTO,"2,700,000"
AUDI,A5 2.0 45 TFSI Sportback Quattro S line Black Edition (MY17) (MNC),2022,AUTO,"2,800,000"
AUDI,A5 2.0 Coupe 40 TFSI S line (MY17) (MNC),2020,AUTO,"1,900,000"
AUDI,A5 2.0 Coupe 40 TFSI S line (MY17) (MNC),2021,AUTO,"2,000,000"
AUDI,A5 2.0 Coupe 40 TFSI S line (MY17) (MNC),2022,AUTO,"2,100,000"
AUDI,A5 2.0 Coupe 45 TFSI Quattro S line Black Edition (MY17) (MNC),2020,AUTO,"2,600,000"
AUDI,A5 2.0 Coupe 45 TFSI Quattro S line Black Edition (MY17) (MNC),2021,AUTO,"2,700,000"
AUDI,A5 2.0 Coupe 45 TFSI Quattro S line Black Edition (MY17) (MNC),2022,AUTO,"2,800,000"
AUDI,"A6 2.0 Turbo FSI
(WAUZZZ8E)",2009,AUTO,"630,000"
AUDI,"A6 2.0 Turbo FSI
(WAUZZZ8E)",2010,AUTO,"660,000"
AUDI,"A6 2.0 Turbo FSI
(WAUZZZ8E)",2011,AUTO,"690,000"
